id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk,lanes_speed,curvature_speed,lanes_curvature,high_speed,high_curvature,few_lanes,no_signs,holiday_risk,speed_category,curvature_category
24725,rural,4,0.01,70,daylight,foggy,False,True,evening,False,False,2,0.27,280,0.7000000000000001,0.04,1,0,0,1,0,high,low
242321,urban,2,0.88,35,dim,foggy,False,True,evening,False,True,0,0.36,70,30.8,1.76,0,1,1,1,0,low,high
428252,rural,1,0.45,35,dim,foggy,False,True,afternoon,False,True,1,0.18,35,15.75,0.45,0,0,1,1,0,low,medium
57250,urban,4,0.92,25,dim,clear,True,True,afternoon,True,False,2,0.24,100,23.0,3.68,0,1,0,0,1,low,high
300722,urban,3,0.54,25,dim,foggy,False,True,afternoon,False,True,3,0.28,75,13.5,1.62,0,1,0,1,0,low,medium
316773,urban,4,0.6,60,daylight,clear,True,True,evening,True,True,0,0.38,240,36.0,2.4,1,1,0,0,1,medium,medium
105667,highway,2,0.28,45,daylight,foggy,False,True,afternoon,True,False,2,0.18,90,12.600000000000001,0.56,0,0,1,1,1,medium,low
159177,highway,3,0.02,60,daylight,foggy,False,False,morning,True,False,2,0.27,180,1.2,0.06,1,0,0,1,1,medium,low
58096,rural,3,0.97,35,dim,foggy,False,False,evening,False,True,0,0.36,105,33.949999999999996,2.91,0,1,0,1,0,low,high
323180,highway,4,0.75,60,daylight,foggy,False,False,morning,False,True,3,0.6,240,45.0,3.0,1,1,0,1,0,medium,high
398555,highway,4,0.83,70,dim,foggy,True,False,evening,False,False,1,0.56,280,58.099999999999994,3.32,1,1,0,0,0,high,high
431636,rural,2,0.31,70,daylight,clear,False,True,afternoon,True,True,2,0.32,140,21.7,0.62,1,0,1,1,1,high,medium
182634,rural,4,0.0,60,dim,clear,False,True,afternoon,False,True,2,0.18,240,0.0,0.0,1,0,0,1,0,medium,low
234908,urban,3,0.46,25,daylight,clear,True,True,afternoon,False,False,2,0.11,75,11.5,1.3800000000000001,0,0,0,0,0,low,medium
3581,rural,3,0.08,25,night,rainy,True,False,afternoon,True,False,1,0.31,75,2.0,0.24,0,0,0,0,1,low,low
453453,rural,2,0.31,35,night,rainy,True,True,afternoon,False,True,2,0.28,70,10.85,0.62,0,0,1,0,0,low,medium
363661,urban,3,0.02,25,night,rainy,False,False,morning,True,False,4,0.2,75,0.5,0.06,0,0,0,1,1,low,low
483614,urban,1,0.83,45,daylight,rainy,True,True,evening,False,True,0,0.4,45,37.35,0.83,0,1,1,0,0,medium,high
412186,urban,1,0.87,35,night,clear,True,True,evening,False,False,1,0.47,35,30.45,0.87,0,1,1,0,0,low,high
48976,rural,3,0.16,45,night,clear,True,True,evening,False,True,1,0.34,135,7.2,0.48,0,0,0,0,0,medium,low
33569,urban,4,0.16,70,night,clear,True,False,evening,False,False,2,0.44,280,11.200000000000001,0.64,1,0,0,0,0,high,low
185848,urban,2,0.45,25,dim,foggy,True,True,morning,False,False,1,0.28,50,11.25,0.9,0,0,1,0,0,low,medium
33150,rural,3,0.84,25,daylight,rainy,True,False,evening,False,False,1,0.34,75,21.0,2.52,0,1,0,0,0,low,high
75438,rural,4,0.09,70,daylight,clear,True,False,evening,False,False,1,0.12,280,6.3,0.36,1,0,0,0,0,high,low
296975,rural,3,0.49,35,daylight,foggy,False,True,afternoon,True,False,0,0.34,105,17.15,1.47,0,0,0,1,1,low,medium
458488,highway,2,0.54,45,dim,foggy,False,False,morning,True,False,0,0.32,90,24.3,1.08,0,1,1,1,1,medium,medium
426304,rural,3,0.26,45,night,foggy,True,False,afternoon,False,True,1,0.27,135,11.700000000000001,0.78,0,0,0,0,0,medium,low
220754,highway,2,0.68,60,daylight,rainy,True,True,afternoon,True,False,2,0.58,120,40.800000000000004,1.36,1,1,1,0,1,medium,high
473556,urban,2,0.86,25,daylight,clear,True,False,evening,True,False,0,0.27,50,21.5,1.72,0,1,1,0,1,low,high
403137,urban,1,0.43,70,dim,foggy,False,False,afternoon,True,False,1,0.39,70,30.099999999999998,0.43,1,0,1,1,1,high,medium
52689,rural,3,0.7,60,daylight,clear,True,True,afternoon,True,True,2,0.42,180,42.0,2.0999999999999996,1,1,0,0,1,medium,high
123119,rural,2,0.6,45,night,foggy,False,True,evening,True,True,3,0.63,90,27.0,1.2,0,1,1,1,1,medium,medium
357725,highway,4,0.43,60,daylight,clear,True,True,afternoon,True,False,2,0.34,240,25.8,1.72,1,0,0,0,1,medium,medium
374725,urban,4,0.2,25,night,foggy,False,True,evening,False,False,1,0.43,100,5.0,0.8,0,0,0,1,0,low,low
85912,rural,4,0.77,70,daylight,clear,False,True,morning,True,True,2,0.4,280,53.9,3.08,1,1,0,1,1,high,high
397750,urban,3,0.08,25,dim,clear,False,True,morning,True,True,0,0.08,75,2.0,0.24,0,0,0,1,1,low,low
261704,urban,1,0.26,35,daylight,foggy,True,False,evening,False,False,2,0.27,35,9.1,0.26,0,0,1,0,0,low,low
413774,rural,1,0.1,60,dim,clear,True,True,afternoon,False,True,0,0.16,60,6.0,0.1,1,0,1,0,0,medium,low
67459,urban,1,0.58,70,daylight,foggy,False,False,morning,False,True,0,0.6,70,40.599999999999994,0.58,1,1,1,1,0,high,medium
72869,urban,2,0.28,25,dim,foggy,False,True,morning,False,True,2,0.18,50,7.000000000000001,0.56,0,0,1,1,0,low,low
380830,rural,2,0.62,25,dim,rainy,False,True,evening,True,True,0,0.28,50,15.5,1.24,0,1,1,1,1,low,high
458752,rural,3,0.07,60,daylight,rainy,False,False,evening,False,False,0,0.2,180,4.2,0.21000000000000002,1,0,0,1,0,medium,low
158875,highway,3,0.19,70,daylight,clear,True,True,afternoon,False,False,1,0.23,210,13.3,0.5700000000000001,1,0,0,0,0,high,low
181595,rural,2,0.36,60,daylight,rainy,True,False,afternoon,True,True,2,0.32,120,21.599999999999998,0.72,1,0,1,0,1,medium,medium
298118,highway,3,0.58,60,daylight,rainy,True,True,afternoon,False,False,2,0.43,180,34.8,1.7399999999999998,1,1,0,0,0,medium,medium
299723,rural,3,0.06,70,dim,foggy,False,True,afternoon,True,False,1,0.25,210,4.2,0.18,1,0,0,1,1,high,low
119078,urban,3,0.63,45,night,rainy,True,True,morning,False,False,2,0.41,135,28.35,1.8900000000000001,0,1,0,0,0,medium,high
91382,urban,3,0.85,35,dim,clear,False,False,evening,False,False,0,0.33,105,29.75,2.55,0,1,0,1,0,low,high
7199,rural,2,0.57,25,night,clear,False,False,afternoon,False,False,0,0.35,50,14.249999999999998,1.14,0,1,1,1,0,low,medium
148349,highway,2,0.53,45,dim,foggy,True,False,morning,False,True,3,0.34,90,23.85,1.06,0,1,1,0,0,medium,medium
293034,rural,1,0.22,35,night,rainy,True,True,morning,False,False,1,0.39,35,7.7,0.22,0,0,1,0,0,low,low
431414,highway,4,0.97,35,dim,rainy,True,False,afternoon,False,False,3,0.48,140,33.949999999999996,3.88,0,1,0,0,0,low,high
387327,highway,2,0.24,70,night,clear,False,False,evening,False,False,1,0.47,140,16.8,0.48,1,0,1,1,0,high,low
248206,highway,4,0.1,45,dim,clear,False,True,afternoon,True,True,0,0.04,180,4.5,0.4,0,0,0,1,1,medium,low
167458,urban,4,0.53,60,dim,rainy,False,True,evening,True,True,3,0.61,240,31.8,2.12,1,1,0,1,1,medium,medium
434965,highway,4,0.8,60,daylight,foggy,False,True,morning,True,False,0,0.55,240,48.0,3.2,1,1,0,1,1,medium,high
428809,rural,4,0.36,45,dim,foggy,False,True,morning,False,False,1,0.32,180,16.2,1.44,0,0,0,1,0,medium,medium
134542,urban,4,0.27,45,night,foggy,True,False,morning,False,False,1,0.2,180,12.15,1.08,0,0,0,0,0,medium,low
311253,highway,4,0.91,25,daylight,clear,True,False,morning,True,True,0,0.23,100,22.75,3.64,0,1,0,0,1,low,high
206452,rural,2,0.17,35,night,clear,True,False,evening,True,False,2,0.15,70,5.95,0.34,0,0,1,0,1,low,low
30860,urban,3,0.66,35,night,foggy,True,True,afternoon,False,True,0,0.51,105,23.1,1.98,0,1,0,0,0,low,high
173036,highway,4,0.95,35,daylight,clear,True,False,afternoon,False,False,1,0.33,140,33.25,3.8,0,1,0,0,0,low,high
413188,highway,4,0.84,60,dim,rainy,False,True,evening,True,True,2,0.55,240,50.4,3.36,1,1,0,1,1,medium,high
24038,urban,1,0.32,45,night,clear,True,False,morning,True,True,0,0.33,45,14.4,0.32,0,0,1,0,1,medium,medium
200421,rural,2,0.98,45,dim,clear,False,False,evening,False,False,2,0.32,90,44.1,1.96,0,1,1,1,0,medium,high
213269,rural,2,0.16,70,daylight,foggy,False,False,afternoon,True,False,1,0.29,140,11.200000000000001,0.32,1,0,1,1,1,high,low
212526,urban,1,0.42,45,dim,clear,False,True,afternoon,False,False,1,0.15,45,18.9,0.42,0,0,1,1,0,medium,medium
72871,rural,2,0.18,35,dim,clear,False,True,morning,False,False,0,0.06,70,6.3,0.36,0,0,1,1,0,low,low
318229,urban,2,0.51,60,daylight,clear,True,True,evening,True,False,1,0.3,120,30.6,1.02,1,0,1,0,1,medium,medium
344394,rural,4,0.42,45,dim,rainy,True,True,afternoon,False,True,1,0.28,180,18.9,1.68,0,0,0,0,0,medium,medium
444689,rural,4,0.25,45,dim,foggy,True,True,evening,True,True,2,0.12,180,11.25,1.0,0,0,0,0,1,medium,low
273362,urban,4,0.26,45,dim,rainy,False,True,morning,True,True,1,0.15,180,11.700000000000001,1.04,0,0,0,1,1,medium,low
368357,highway,4,0.72,60,night,clear,False,False,evening,False,False,1,0.58,240,43.199999999999996,2.88,1,1,0,1,0,medium,high
407952,urban,1,0.52,45,night,foggy,False,True,evening,False,True,0,0.39,45,23.400000000000002,0.52,0,0,1,1,0,medium,medium
474017,urban,3,0.22,25,dim,clear,False,False,afternoon,True,True,0,0.01,75,5.5,0.66,0,0,0,1,1,low,low
509754,highway,1,0.4,45,dim,clear,False,False,morning,True,True,1,0.07,45,18.0,0.4,0,0,1,1,1,medium,medium
161249,urban,4,0.15,35,dim,foggy,True,False,afternoon,False,False,2,0.15,140,5.25,0.6,0,0,0,0,0,low,low
140499,urban,4,0.75,70,daylight,clear,False,True,evening,True,False,0,0.42,280,52.5,3.0,1,1,0,1,1,high,high
172265,highway,1,0.69,25,night,foggy,True,True,evening,True,False,1,0.58,25,17.25,0.69,0,1,1,0,1,low,high
336248,highway,1,0.25,60,daylight,rainy,False,True,evening,False,True,2,0.46,60,15.0,0.25,1,0,1,1,0,medium,low
471568,highway,4,0.2,45,night,clear,True,False,morning,False,False,1,0.28,180,9.0,0.8,0,0,0,0,0,medium,low
71294,urban,3,0.47,35,dim,rainy,True,False,afternoon,True,True,1,0.24,105,16.45,1.41,0,0,0,0,1,low,medium
195414,rural,3,0.14,45,dim,clear,False,True,evening,True,True,0,0.03,135,6.300000000000001,0.42000000000000004,0,0,0,1,1,medium,low
319930,highway,3,0.24,70,dim,rainy,False,True,evening,True,True,2,0.38,210,16.8,0.72,1,0,0,1,1,high,low
161350,highway,2,0.2,35,daylight,rainy,True,False,morning,True,True,2,0.21,70,7.0,0.4,0,0,1,0,1,low,low
289109,rural,4,0.06,60,daylight,foggy,True,False,morning,False,True,2,0.35,240,3.5999999999999996,0.24,1,0,0,0,0,medium,low
217731,rural,4,0.42,45,night,rainy,True,False,evening,True,False,1,0.42,180,18.9,1.68,0,0,0,0,1,medium,medium
166972,highway,2,0.15,45,night,clear,True,False,morning,False,False,1,0.34,90,6.75,0.3,0,0,1,0,0,medium,low
242595,highway,4,0.35,45,dim,rainy,False,False,morning,False,True,1,0.17,180,15.749999999999998,1.4,0,0,0,1,0,medium,medium
470480,urban,4,0.52,45,dim,foggy,False,True,evening,False,False,1,0.28,180,23.400000000000002,2.08,0,0,0,1,0,medium,medium
193151,highway,1,0.85,60,dim,rainy,True,True,morning,True,False,0,0.56,60,51.0,0.85,1,1,1,0,1,medium,high
24037,urban,3,0.55,70,night,clear,True,False,afternoon,False,True,0,0.61,210,38.5,1.6500000000000001,1,1,0,0,0,high,medium
255419,highway,2,0.65,35,daylight,foggy,True,True,morning,False,False,0,0.24,70,22.75,1.3,0,1,1,0,0,low,high
291362,highway,4,0.79,60,dim,clear,True,True,afternoon,True,False,2,0.48,240,47.400000000000006,3.16,1,1,0,0,1,medium,high
288865,highway,4,0.13,35,dim,foggy,False,False,afternoon,True,True,0,0.19,140,4.55,0.52,0,0,0,1,1,low,low
502454,highway,2,0.11,25,dim,clear,True,True,afternoon,False,False,2,0.02,50,2.75,0.22,0,0,1,0,0,low,low
339494,highway,3,0.2,70,dim,rainy,False,True,evening,False,False,0,0.41,210,14.0,0.6000000000000001,1,0,0,1,0,high,low
221159,urban,3,0.3,45,dim,clear,True,True,afternoon,False,False,1,0.08,135,13.5,0.8999999999999999,0,0,0,0,0,medium,low
76078,urban,2,0.53,60,night,clear,True,True,evening,False,False,0,0.59,120,31.8,1.06,1,1,1,0,0,medium,medium
149165,urban,2,1.0,25,night,rainy,False,True,evening,False,False,0,0.71,50,25.0,2.0,0,1,1,1,0,low,high
220895,highway,3,0.62,60,dim,clear,True,False,evening,False,False,1,0.41,180,37.2,1.8599999999999999,1,1,0,0,0,medium,high
340410,rural,2,0.37,60,dim,rainy,True,True,afternoon,True,False,1,0.44,120,22.2,0.74,1,0,1,0,1,medium,medium
189427,rural,3,0.07,25,daylight,rainy,True,True,afternoon,False,False,0,0.21,75,1.7500000000000002,0.21000000000000002,0,0,0,0,0,low,low
309986,urban,3,0.86,25,daylight,foggy,False,True,morning,False,False,0,0.37,75,21.5,2.58,0,1,0,1,0,low,high
425059,rural,3,0.76,35,night,rainy,False,True,morning,False,False,3,0.62,105,26.6,2.2800000000000002,0,1,0,1,0,low,high
315380,urban,1,0.21,25,dim,foggy,False,False,afternoon,True,False,1,0.14,25,5.25,0.21,0,0,1,1,1,low,low
87938,urban,1,0.95,70,daylight,clear,False,True,evening,True,True,1,0.5,70,66.5,0.95,1,1,1,1,1,high,high
78098,rural,1,0.65,70,night,clear,True,True,afternoon,True,False,1,0.56,70,45.5,0.65,1,1,1,0,1,high,high
382872,urban,1,0.39,70,dim,rainy,True,False,morning,True,True,2,0.46,70,27.3,0.39,1,0,1,0,1,high,medium
310141,urban,1,0.61,35,dim,clear,True,True,evening,False,False,0,0.24,35,21.349999999999998,0.61,0,1,1,0,0,low,high
480821,highway,3,0.1,70,dim,clear,True,True,morning,True,False,1,0.22,210,7.0,0.30000000000000004,1,0,0,0,1,high,low
38979,highway,1,0.07,45,night,foggy,False,False,evening,True,False,1,0.2,45,3.1500000000000004,0.07,0,0,1,1,1,medium,low
143400,urban,1,0.92,45,dim,foggy,True,False,morning,True,False,2,0.34,45,41.4,0.92,0,1,1,0,1,medium,high
264087,rural,4,0.0,70,night,rainy,True,True,afternoon,False,False,2,0.3,280,0.0,0.0,1,0,0,0,0,high,low
396142,urban,4,0.01,35,daylight,rainy,True,True,evening,False,True,1,0.02,140,0.35000000000000003,0.04,0,0,0,0,0,low,low
258877,urban,4,0.85,45,dim,rainy,True,False,morning,True,False,0,0.34,180,38.25,3.4,0,1,0,0,1,medium,high
224154,urban,2,0.1,45,night,clear,False,True,afternoon,False,False,0,0.24,90,4.5,0.2,0,0,1,1,0,medium,low
191594,highway,2,0.15,45,dim,rainy,False,True,afternoon,True,False,2,0.18,90,6.75,0.3,0,0,1,1,1,medium,low
283116,rural,4,0.43,45,daylight,foggy,False,True,afternoon,False,False,0,0.21,180,19.35,1.72,0,0,0,1,0,medium,medium
332549,urban,4,0.65,45,night,foggy,False,False,evening,True,True,0,0.65,180,29.25,2.6,0,1,0,1,1,medium,high
97998,highway,2,0.61,25,night,foggy,True,False,morning,True,True,2,0.48,50,15.25,1.22,0,1,1,0,1,low,high
49990,highway,4,0.67,25,daylight,rainy,True,True,morning,False,True,1,0.32,100,16.75,2.68,0,1,0,0,0,low,high
296651,highway,2,0.45,70,daylight,clear,False,False,evening,False,False,0,0.25,140,31.5,0.9,1,0,1,1,0,high,medium
129871,highway,2,0.67,45,night,rainy,True,True,afternoon,True,False,0,0.42,90,30.150000000000002,1.34,0,1,1,0,1,medium,high
238529,rural,3,0.4,25,dim,clear,False,True,afternoon,False,True,1,0.16,75,10.0,1.2000000000000002,0,0,0,1,0,low,medium
37872,rural,1,0.4,60,daylight,clear,True,False,afternoon,False,True,1,0.33,60,24.0,0.4,1,0,1,0,0,medium,medium
433450,urban,2,0.15,70,dim,foggy,False,True,afternoon,False,True,0,0.47,140,10.5,0.3,1,0,1,1,0,high,low
244967,rural,3,0.34,45,dim,rainy,False,False,afternoon,True,True,1,0.15,135,15.3,1.02,0,0,0,1,1,medium,medium
275664,highway,2,0.55,45,daylight,foggy,True,False,afternoon,True,True,0,0.27,90,24.750000000000004,1.1,0,1,1,0,1,medium,medium
207882,urban,3,0.28,35,daylight,clear,False,True,afternoon,True,True,2,0.02,105,9.8,0.8400000000000001,0,0,0,1,1,low,low
271007,urban,2,0.58,70,dim,clear,True,False,morning,True,True,1,0.27,140,40.599999999999994,1.16,1,1,1,0,1,high,medium
465081,urban,4,0.63,35,night,clear,True,False,morning,False,False,1,0.41,140,22.05,2.52,0,1,0,0,0,low,high
333584,urban,1,0.82,35,dim,clear,False,False,evening,False,False,2,0.21,35,28.7,0.82,0,1,1,1,0,low,high
25828,urban,4,0.75,60,daylight,clear,True,True,afternoon,False,True,2,0.42,240,45.0,3.0,1,1,0,0,0,medium,high
397699,highway,3,0.93,60,night,rainy,False,True,morning,True,False,0,0.74,180,55.800000000000004,2.79,1,1,0,1,1,medium,high
86585,rural,2,0.37,35,night,rainy,False,True,afternoon,False,True,1,0.36,70,12.95,0.74,0,0,1,1,0,low,medium
123226,urban,4,0.17,60,dim,foggy,False,False,evening,True,False,1,0.37,240,10.200000000000001,0.68,1,0,0,1,1,medium,low
323339,urban,1,0.17,35,night,rainy,True,False,evening,True,False,1,0.39,35,5.95,0.17,0,0,1,0,1,low,low
147180,urban,3,0.63,25,daylight,foggy,True,True,evening,True,False,1,0.23,75,15.75,1.8900000000000001,0,1,0,0,1,low,high
94824,highway,3,0.26,35,dim,clear,False,False,afternoon,True,False,0,0.08,105,9.1,0.78,0,0,0,1,1,low,low
276910,rural,4,0.64,25,night,rainy,False,True,afternoon,True,False,0,0.5,100,16.0,2.56,0,1,0,1,1,low,high
171014,urban,4,0.09,35,night,rainy,False,True,afternoon,False,False,3,0.1,140,3.15,0.36,0,0,0,1,0,low,low
39461,urban,4,0.27,60,daylight,rainy,True,True,evening,True,False,1,0.44,240,16.200000000000003,1.08,1,0,0,0,1,medium,low
203277,highway,1,0.84,25,daylight,clear,True,False,afternoon,False,False,1,0.26,25,21.0,0.84,0,1,1,0,0,low,high
50400,highway,2,0.81,60,daylight,foggy,False,False,morning,True,False,2,0.53,120,48.6,1.62,1,1,1,1,1,medium,high
119186,highway,4,0.68,35,daylight,foggy,True,False,evening,True,False,1,0.37,140,23.8,2.72,0,1,0,0,1,low,high
118705,rural,1,0.62,45,daylight,foggy,False,True,morning,True,False,2,0.32,45,27.9,0.62,0,1,1,1,1,medium,high
107488,urban,2,0.28,35,daylight,rainy,False,True,evening,False,True,1,0.14,70,9.8,0.56,0,0,1,1,0,low,low
441562,rural,2,0.77,60,daylight,foggy,False,True,afternoon,False,False,0,0.58,120,46.2,1.54,1,1,1,1,0,medium,high
18790,highway,1,0.68,35,dim,foggy,False,False,evening,False,False,2,0.34,35,23.8,0.68,0,1,1,1,0,low,high
393112,urban,2,0.74,25,daylight,rainy,False,False,evening,False,False,1,0.28,50,18.5,1.48,0,1,1,1,0,low,high
301230,urban,3,0.59,60,night,foggy,False,True,afternoon,False,False,0,0.69,180,35.4,1.77,1,1,0,1,0,medium,medium
141419,rural,1,0.22,35,night,rainy,False,False,afternoon,True,False,2,0.35,35,7.7,0.22,0,0,1,1,1,low,low
96678,urban,1,0.76,25,dim,clear,False,True,evening,False,True,0,0.24,25,19.0,0.76,0,1,1,1,0,low,high
193567,highway,1,0.86,70,dim,foggy,True,True,morning,True,False,1,0.55,70,60.199999999999996,0.86,1,1,1,0,1,high,high
432951,highway,1,0.87,70,dim,foggy,True,True,evening,False,False,0,0.47,70,60.9,0.87,1,1,1,0,0,high,high
462491,highway,1,0.15,35,night,foggy,False,True,evening,False,True,1,0.43,35,5.25,0.15,0,0,1,1,0,low,low
148060,highway,4,0.36,45,night,foggy,False,False,afternoon,True,True,1,0.38,180,16.2,1.44,0,0,0,1,1,medium,medium
147998,rural,2,0.98,60,dim,foggy,True,True,evening,True,False,1,0.53,120,58.8,1.96,1,1,1,0,1,medium,high
63926,urban,2,0.47,45,night,clear,False,False,morning,True,False,2,0.39,90,21.15,0.94,0,0,1,1,1,medium,medium
39449,rural,4,0.67,25,dim,foggy,True,False,evening,True,True,2,0.28,100,16.75,2.68,0,1,0,0,1,low,high
103495,highway,3,0.08,35,daylight,foggy,True,True,afternoon,True,True,0,0.12,105,2.8000000000000003,0.24,0,0,0,0,1,low,low
245695,urban,1,0.98,35,dim,foggy,True,False,evening,False,True,3,0.49,35,34.3,0.98,0,1,1,0,0,low,high
55704,highway,2,0.73,25,dim,foggy,False,True,morning,True,False,1,0.38,50,18.25,1.46,0,1,1,1,1,low,high
507420,urban,1,0.24,35,daylight,rainy,True,False,afternoon,False,True,1,0.17,35,8.4,0.24,0,0,1,0,0,low,low
338687,highway,2,0.76,70,daylight,foggy,False,True,morning,False,True,1,0.42,140,53.2,1.52,1,1,1,1,0,high,high
468180,highway,1,0.85,60,daylight,foggy,True,False,evening,False,False,3,0.76,60,51.0,0.85,1,1,1,0,0,medium,high
206523,highway,4,0.28,35,daylight,clear,True,True,afternoon,True,False,0,0.02,140,9.8,1.12,0,0,0,0,1,low,low
328444,highway,1,0.57,45,night,foggy,True,False,evening,True,False,0,0.41,45,25.65,0.57,0,1,1,0,1,medium,medium
496256,urban,4,0.03,35,night,rainy,False,False,evening,True,False,2,0.21,140,1.05,0.12,0,0,0,1,1,low,low
136902,highway,1,0.74,70,daylight,foggy,True,False,morning,True,True,0,0.47,70,51.8,0.74,1,1,1,0,1,high,high
66231,urban,3,0.08,35,daylight,clear,True,False,evening,False,False,2,0.05,105,2.8000000000000003,0.24,0,0,0,0,0,low,low
398771,rural,4,0.23,35,daylight,clear,True,False,afternoon,False,False,0,0.11,140,8.05,0.92,0,0,0,0,0,low,low
115812,urban,4,0.14,35,dim,foggy,False,True,afternoon,False,False,0,0.14,140,4.9,0.56,0,0,0,1,0,low,low
37223,highway,1,0.99,35,daylight,foggy,True,False,morning,False,False,3,0.48,35,34.65,0.99,0,1,1,0,0,low,high
431960,urban,2,0.63,60,dim,clear,False,False,morning,True,True,2,0.4,120,37.8,1.26,1,1,1,1,1,medium,high
317688,highway,1,0.52,35,dim,rainy,False,False,morning,False,False,1,0.26,35,18.2,0.52,0,0,1,1,0,low,medium
387496,highway,2,0.99,60,daylight,foggy,True,True,afternoon,True,False,2,0.56,120,59.4,1.98,1,1,1,0,1,medium,high
244722,urban,3,0.78,25,night,rainy,True,False,afternoon,True,False,0,0.59,75,19.5,2.34,0,1,0,0,1,low,high
384931,highway,1,0.31,35,dim,rainy,True,False,afternoon,False,False,1,0.17,35,10.85,0.31,0,0,1,0,0,low,medium
440859,rural,1,0.62,70,daylight,rainy,True,True,afternoon,True,True,3,0.57,70,43.4,0.62,1,1,1,0,1,high,high
447376,urban,1,0.29,60,daylight,clear,True,True,morning,True,False,1,0.34,60,17.4,0.29,1,0,1,0,1,medium,low
46661,rural,3,0.33,35,night,clear,False,False,afternoon,True,True,1,0.28,105,11.55,0.99,0,0,0,1,1,low,medium
158881,urban,1,0.57,25,dim,rainy,False,False,afternoon,True,False,1,0.3,25,14.249999999999998,0.57,0,1,1,1,1,low,medium
464608,urban,1,0.21,25,daylight,clear,False,False,afternoon,False,True,0,0.02,25,5.25,0.21,0,0,1,1,0,low,low
345567,urban,1,0.03,60,dim,foggy,False,True,evening,False,True,1,0.39,60,1.7999999999999998,0.03,1,0,1,1,0,medium,low
481309,urban,2,0.82,35,night,foggy,False,True,afternoon,False,False,2,0.6,70,28.7,1.64,0,1,1,1,0,low,high
51540,urban,2,0.49,45,dim,clear,False,True,afternoon,True,True,0,0.13,90,22.05,0.98,0,0,1,1,1,medium,medium
372372,highway,2,0.9,70,daylight,foggy,False,True,morning,True,False,2,0.46,140,63.0,1.8,1,1,1,1,1,high,high
244324,urban,2,0.67,45,dim,rainy,True,True,evening,False,True,3,0.46,90,30.150000000000002,1.34,0,1,1,0,0,medium,high
307032,urban,4,0.65,70,night,foggy,True,False,evening,True,False,0,0.53,280,45.5,2.6,1,1,0,0,1,high,high
302257,urban,4,0.89,45,daylight,foggy,True,False,evening,True,True,2,0.36,180,40.05,3.56,0,1,0,0,1,medium,high
487180,rural,1,0.7,60,night,clear,True,True,morning,False,False,2,0.82,60,42.0,0.7,1,1,1,0,0,medium,high
64020,rural,4,0.07,25,daylight,rainy,False,True,afternoon,True,False,2,0.19,100,1.7500000000000002,0.28,0,0,0,1,1,low,low
